date,audiobook circulations,audiobook cost,comic circulations,comic cost,ebook circulations,ebook cost,movie circulations,movie cost,music circulations,music cost,television circulations,television cost,total circulations,total cost
March 2020,409,"$1,063.49 ",37,$35.20 ,184,$217.99 ,72,$161.18 ,27,$41.23 ,45,$74.06 ,774,"$1,593.15 "
April 2020,419,$800.87 ,45,$41.43 ,213,$245.09 ,95,$173.36 ,23,$32.78 ,37,$65.13 ,832,"$1,358.66 "
May 2020,421,$840.18 ,39,$57.84 ,228,$258.09 ,61,$134.69 ,28,$39.24 ,33,$59.67 ,810,"$1,389.71 "
June 2020,386,$997.39 ,47,$65.56 ,218,$292.03 ,91,$196.39 ,26,$39.74 ,28,$52.22 ,796,"$1,643.33 "
