rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
24,Little Women,,2014,AUDIOBOOK,9.78163E+12,Classics,"Dreamscape Media, LLC",Louisa May Alcott,,FALSE,1,2.99,FALSE
25,American Beauty/American Psycho,,2015,MUSIC,,Alternative,"Island Records, a division of UMG Recordings, Inc.",Fall Out Boy,,FALSE,1,1.49,FALSE
26,Primitiva,,1958,MUSIC,,Easy Listening,Capitol Records,Martin Denny,,FALSE,1,1.49,FALSE
27,Go Big,,2011,EBOOK,9.78141E+12,"Christian Living, Motivational & Inspirational, Personal Growth, Religion, Self-help","Tyndale House Publishers, Inc.",Cory Cotton,,FALSE,1,0.89,FALSE
28,Price of Privilege,,2014,EBOOK,9.7815E+12,"Christian, Fiction, Historical, Historical, Historical, Romance","Tyndale House Publishers, Inc.",Jessica Dotta,,FALSE,1,0.49,FALSE
29,Mark of Distinction,,2014,EBOOK,9.78141E+12,"Christian, Fiction, Historical, Historical, Historical, Romance","Tyndale House Publishers, Inc.",Jessica Dotta,,FALSE,1,0.49,FALSE
30,Divide and Conquer,,2012,AUDIOBOOK,9.78134E+12,Teen,Scholastic,Carrie Ryan,,FALSE,1,1.29,FALSE
31,The Joy Luck Club,,1993,MOVIE,,"Drama, Family Relations",Hollywood Pictures,Rosalind Chao,R,FALSE,1,2.99,FALSE
32,Firelight,,1998,MOVIE,,"Drama, Period Film, Romance, Romantic",Hollywood Pictures,Sophie Marceau,R,FALSE,1,2.99,FALSE
33,Green,,2009,AUDIOBOOK,9.78161E+12,Christian Mystery,Oasis Audio,Ted Dekker,,FALSE,1,2.49,FALSE
34,The Basketball Mystery,,2015,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Gertrude Chandler Warner,,FALSE,1,0.99,TRUE
35,Amaryllis,,2015,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,M. C. Beaton,,FALSE,1,1.99,FALSE
36,After the Ball,,2015,MOVIE,,"Comedy, Romance, Romantic Comedy",Freestyle Digital Media,Portia Doubleday,NRT,FALSE,1,1.99,FALSE
37,Batman: The Black Mirror,,2012,COMIC,9.7814E+12,"Crime, Media Tie-In, Mystery, Superhero, Teen",DC Comics,Scott Snyder,T,FALSE,1,2.49,FALSE
38,Planetary Vol. 4: Spacetime Archaeology,,2011,COMIC,9.7814E+12,"Mystery, Superhero, Teen",DC Comics,Warren Ellis,T,FALSE,1,1.99,FALSE
39,Women And Black Dudes,,2014,MUSIC,,Comedy,Comedy Central,Neal Brennan,,TRUE,1,1.49,FALSE
40,Mrs. Budley Falls from Grace,,2012,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,M. C. Beaton,,FALSE,1,1.99,FALSE
41,Freak,,2013,AUDIOBOOK,9.78145E+12,Mystery,Tantor Audio,Jennifer Hillier,,FALSE,1,2.14,FALSE
42,Obsession,,2013,AUDIOBOOK,9.78145E+12,Romance,Tantor Audio,Debra Webb,,FALSE,1,1.84,FALSE
43,The Miracle Of Mindfulness,,2012,AUDIOBOOK,9.78145E+12,Religious,Tantor Audio,Thich Nhat Hanh,,FALSE,1,1.14,FALSE
44,The Graves Are Walking,,2012,AUDIOBOOK,9.78145E+12,History,Tantor Audio,John Kelly,,FALSE,1,2.64,FALSE
45,This Boy's Life,,2010,AUDIOBOOK,9.78162E+12,Biography,HighBridge,Tobias Wolff,,FALSE,1,2.14,FALSE
46,The Hobbit (Dramatized),,2009,AUDIOBOOK,9.7816E+12,Classics,HighBridge,J. R. R. Tolkien,,FALSE,1,1.44,FALSE
47,The Mark of Athena,,2012,EBOOK,9.78142E+12,"Action & Adventure, Fantasy & Magic, Juvenile Fiction",Disney Book Group,Rick Riordan,,FALSE,1,0.99,TRUE
48,Death of a Village,,2003,AUDIOBOOK,9.78198E+12,Mystery,Blackstone Publishing,M. C. Beaton,,FALSE,1,2.49,FALSE
49,Stepping Up,,2012,AUDIOBOOK,9.78198E+12,Business,Blackstone Publishing,"John Izzo, PhD",,FALSE,1,0.99,FALSE
50,The Haunted Season,,2015,AUDIOBOOK,9.78168E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
51,Eight Cousins,,2012,EBOOK,9.78163E+12,"Classics, Fiction",Start Publishing LLC,Louisa May Alcott,,FALSE,1,0.49,FALSE
52,Jem And The Holograms (Original Motion Picture Soundtrack),,2015,MUSIC,,Soundtrack,"Silent Records and Republic Records, a division of UMG Recordings, Inc. (Schoolboy)",Various Artists,,FALSE,1,1.49,FALSE
53,With Every Breath,,2014,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Elizabeth Camden,,FALSE,1,1.99,FALSE
54,Caught in the Middle,,2014,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Regina Jennings,,FALSE,1,1.49,FALSE
55,Nixon,,1995,MOVIE,,"American Politics, Docudrama, Drama, Political, Suspense / Thriller",Hollywood Pictures,Anthony Hopkins,R,FALSE,1,2.99,FALSE
56,North! Or Be Eaten,,2015,AUDIOBOOK,9.78163E+12,Action & Adventure,christianaudio.com,Andrew Peterson,,FALSE,1,2.44,FALSE
57,The Warden and the Wolf King,,2015,AUDIOBOOK,9.78163E+12,Action & Adventure,christianaudio.com,Andrew Peterson,,FALSE,1,2.64,FALSE
58,Losing It,,2008,AUDIOBOOK,9.78074E+12,Biography,Simon & Schuster Audio,Valerie Bertinelli,,FALSE,1,3.99,FALSE
59,The Last Man,,2012,AUDIOBOOK,9.78144E+12,Mystery,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
60,Once Gone,,2015,EBOOK,9.78163E+12,"Fiction, Mystery & Detective, Psychological, Suspense, Thrillers, Women Sleuths",Lukeman,Blake Pierce,,FALSE,1,0.49,FALSE
61,Pursuit Of Honor,,2009,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
62,Extreme Measures,,2008,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
63,Becoming Alpha,,2013,EBOOK,9.78099E+12,"Dark Fantasy, Fantasy, Fiction, Occult & Supernatural, Paranormal, Paranormal, Romance","Ink Monster, LLC",Aileen Erin,,FALSE,1,0.49,FALSE
64,Freedom from Choice,,2015,MOVIE,,Documentary,Gaiam TV,Peter Schiff,NRT,FALSE,1,1.49,FALSE
65,Missional Motherhood,,2016,AUDIOBOOK,9.78163E+12,Religious,christianaudio.com,Gloria Furman,,FALSE,1,1.64,FALSE
66,Avoiding Alpha,,2014,EBOOK,9.78099E+12,"Dark Fantasy, Fantasy, Fiction, Occult & Supernatural, Paranormal, Paranormal, Romance","Ink Monster, LLC",Aileen Erin,,FALSE,1,0.49,FALSE
67,One More Day,,2016,EBOOK,9.78149E+12,"Family Life, Fiction, Suspense, Thrillers, Women",Sourcebooks Inc,Kelly Simmons,,FALSE,1,1.14,FALSE
68,The Hiding Place,,2006,EBOOK,9.78144E+12,"Biography & Autobiography, Christian Living, Religion, Religious",Baker Publishing Group,Corrie Ten Boom,,FALSE,1,0.34,FALSE
69,Make Him BEG for Your Attention,,2016,AUDIOBOOK,9.78152E+12,Self Help,Author's Republic,Bruce Bryans,,FALSE,1,0.99,FALSE
70,Marie's Story,,2015,MOVIE,,Drama,Film Movement,Isabelle Carre,NRC,FALSE,1,1.99,FALSE
71,"The Lion, the Witch and the Wardrobe",,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,C. S. Lewis,,FALSE,1,2.99,TRUE
72,To Kill a Mockingbird,,2014,AUDIOBOOK,9.78006E+12,Classics,Caedmon,Harper Lee,,FALSE,1,2.99,FALSE
73,Yes Please,,2014,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Amy Poehler,,FALSE,1,2.99,FALSE
74,The ABC Murders,,2012,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Agatha Christie,,FALSE,1,2.99,FALSE
75,Island of the Sequined Love Nun,,2009,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Christopher Moore,,FALSE,1,2.99,FALSE
76,A People's History of the United States,,2009,AUDIOBOOK,9.78006E+12,History,HarperAudio,Howard Zinn,,FALSE,1,2.99,FALSE
77,A People's History of the United States,,2004,AUDIOBOOK,9.78006E+12,History,HarperAudio,Howard Zinn,,FALSE,1,2.99,FALSE
78,The Mouse and the Motorcycle,,2007,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,2.49,TRUE
79,I Am Number Four,,2010,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperCollins,Pittacus Lore,,FALSE,1,3.99,FALSE
80,Just Kids,,2011,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Patti Smith,,FALSE,1,3.99,FALSE
81,Their Eyes Were Watching God,,2005,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Zora Neale Hurston,,FALSE,1,3.99,FALSE
82,The Moving Finger,,2012,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Agatha Christie,,FALSE,1,2.99,FALSE
83,Destiny's Surrender,,2013,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Beverly Jenkins,,FALSE,1,3.99,FALSE
84,The Amazing Maurice and His Educated Rodents,,2013,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperCollins,Terry Pratchett,,FALSE,1,3.99,FALSE
85,13 Things Mentally Strong People Don't Do,,2014,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Amy Morin,,FALSE,1,3.99,FALSE
86,The Happiness Project,,2009,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Gretchen Rubin,,FALSE,1,3.99,FALSE
87,The Best Christmas Pageant Ever,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Barbara Robinson,,FALSE,1,2.99,TRUE
88,The Wee Free Men,,2004,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperAudio,Terry Pratchett,,FALSE,1,2.99,FALSE
89,The Best School Year Ever,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Barbara Robinson,,FALSE,1,2.99,TRUE
90,Don't Let The Pigeon Stay Up Late,,2011,MOVIE,,Children's,Weston Woods,Mo Willems,NRC,FALSE,1,0.99,TRUE
91,Knuffle Bunny: A Cautionary Tale,,2006,MOVIE,,,Weston Woods,Mo Willems,NRC,FALSE,1,0.99,TRUE
92,The Geography of Bliss,,2008,AUDIOBOOK,9.7816E+12,Self Help,Hachette Audio,Eric J. Weiner,,FALSE,1,3.49,FALSE
93,KIDZ BOP Greatest Hits!,,2016,MUSIC,,Children's,"Kidz Bop. Marketed by Kidz Bop. Distributed by Concord Music Group, Inc.",KIDZ BOP Kids,,FALSE,1,1.49,TRUE
94,You Laugh But It's True,,2013,MOVIE,,Documentary,Gravitas Ventures,Trevor Noah,NRT,FALSE,1,1.99,FALSE
95,Safe People,,2003,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Henry Cloud,,FALSE,1,2.99,FALSE
96,Grand Weaver,,2007,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Ravi Zacharias,,FALSE,1,2.99,FALSE
97,King Jesus Gospel,,2011,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Scot McKnight,,FALSE,1,2.99,FALSE
98,How to Get a Date Worth Keeping,,2011,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Henry Cloud,,FALSE,1,2.99,FALSE
99,The Best Halloween Ever,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Barbara Robinson,,FALSE,1,2.99,TRUE
100,The Legacies,,2012,AUDIOBOOK,9.78006E+12,Teen,HarperCollins,Pittacus Lore,,FALSE,1,3.99,FALSE
101,Undaunted Courage,,1996,AUDIOBOOK,9.78074E+12,History,Simon & Schuster Audio,Stephen E. Ambrose,,FALSE,1,3.99,FALSE
102,Wishful Drinking,,2009,AUDIOBOOK,9.78074E+12,Biography,Simon & Schuster Audio,Carrie Fisher,,FALSE,1,2.99,FALSE
103,The Millionaire Next Door,,2000,AUDIOBOOK,9.78074E+12,Business,Simon & Schuster Audio,Thomas J. Stanley,,FALSE,1,2.99,FALSE
104,South Africa,,2012,AUDIOBOOK,9.78001E+12,History,HarperCollins Publishers UK,Anthony Holmes,,FALSE,1,0.49,FALSE
105,Black History,,2012,AUDIOBOOK,9.78001E+12,History,HarperCollins Publishers UK,Rupert Colley,,FALSE,1,0.49,FALSE
106,The Cold War,,2012,AUDIOBOOK,9.78001E+12,History,HarperCollins Publishers UK,Rupert Colley,,FALSE,1,0.49,FALSE
107,The Afghan Wars,,2012,AUDIOBOOK,9.78001E+12,History,HarperCollins Publishers UK,Kat Smutz,,FALSE,1,0.49,FALSE
108,American Slavery,,2013,AUDIOBOOK,9.78001E+12,History,HarperCollins Publishers UK,Kat Smutz,,FALSE,1,0.49,FALSE
109,The Alienist,,1994,AUDIOBOOK,9.78074E+12,Fiction,Simon & Schuster Audio,Caleb Carr,,FALSE,1,3.99,FALSE
110,Your Kid's a Brat and It's All Your Fault,,2016,AUDIOBOOK,9.78198E+12,Self Help,Blackstone Publishing,Elaine Rose Glickman,,FALSE,1,1.99,FALSE
111,Tell the Truth & Shame the Devil,,2016,AUDIOBOOK,9.78198E+12,Biography,Blackstone Publishing,Lezley McSpadden,,FALSE,1,1.99,FALSE
112,Forward,,2016,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Abby Wambach,,FALSE,1,3.99,FALSE
113,Frost Line,,2016,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Linda Howard,,FALSE,1,3.99,FALSE
114,The Hating Game,,2016,AUDIOBOOK,9.78006E+12,"Comedy, Romance",HarperAudio,Sally Thorne,,FALSE,1,2.49,FALSE
115,Persian Fire,,2016,AUDIOBOOK,9.78152E+12,History,Tantor Audio,Tom Holland,,FALSE,1,2.64,FALSE
116,The Man Who Was Thursday,,2016,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",G. K. Chesterton,,FALSE,1,2.99,FALSE
117,Big Nate: I Can't Take It!,,2013,COMIC,9.78145E+12,"Children's, Humorous",Andrews McMeel,Lincoln Peirce,E,FALSE,1,1.49,TRUE
118,"I Survived The Eruption Of Mount St. Helens, 1980",,2016,AUDIOBOOK,9.78134E+12,Teen,Scholastic,Lauren Tarshis,,FALSE,1,0.99,FALSE
119,Pete the Cat and the Missing Cupcakes,,2016,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperCollins,James Dean,,FALSE,1,0.49,TRUE
120,Convince Me to Live,,2017,AUDIOBOOK,9.78198E+12,Mystery,Blackstone Publishing,Niles Manning,,FALSE,1,0.99,FALSE
121,Her Every Fear,,2017,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Peter Swanson,,FALSE,1,3.99,FALSE
122,Remake,,2014,EBOOK,9.78163E+12,"Dystopian, Young Adult Fiction",Shadow Mountain Publishing,Ilima Todd,,FALSE,1,1.29,FALSE
123,Resist,,2016,EBOOK,9.78163E+12,"Dystopian, Young Adult Fiction",Shadow Mountain Publishing,Ilima Todd,,FALSE,1,1.69,FALSE
124,The Best of Archie Comics,,2016,COMIC,9.78162E+12,"Children's, Humorous, Media Tie-In, Romance",Archie,Various Authors,E,FALSE,1,1.99,TRUE
125,A Most Novel Revenge,,2016,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Ashley Weaver,,FALSE,1,2.99,FALSE
126,Sandy My Name,,2012,EBOOK,9.78162E+12,"Children With Special Needs, Family & Relationships",BookBaby,Judy Gilligan,,FALSE,1,0.34,FALSE
127,After Ever Happy,,2015,AUDIOBOOK,9.78144E+12,Romance,Simon & Schuster Audio,Anna Todd,,FALSE,1,3.99,FALSE
128,Breaking the Habit of Being Yourself,,2016,AUDIOBOOK,9.78152E+12,Health & Fitness,Author's Republic,Dr. Joe Dispenza,,FALSE,1,1.99,FALSE
129,Owls Well That Ends Well,,2016,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Donna Andrews,,FALSE,1,2.99,FALSE
130,Breathless,,2017,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Beverly Jenkins,,FALSE,1,3.99,FALSE
131,The Flash Season Zero,,2015,COMIC,9.7814E+12,"Action & Adventure, Media Tie-In, Superhero, Teen",DC Comics,Andrew Kreisberg,T,FALSE,1,2.49,FALSE
132,Garden of Lamentations Unabridged,,2017,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Deborah Crombie,,FALSE,1,2.99,FALSE
133,She Walks in Power,,2016,AUDIOBOOK,9.78152E+12,Fiction,Tantor Audio,Marylu Tyndall,,FALSE,1,2.14,FALSE
134,A Daughter Of The Samurai,,2012,EBOOK,9.78146E+12,"Asian American, Biography & Autobiography, Fiction, Personal Memoirs, Women",Tuttle Publishing,Etsu Inagaki Sugimoto,,FALSE,1,0.99,FALSE
135,No Nest for the Wicket,,2016,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Donna Andrews,,FALSE,1,2.99,FALSE
136,Keeping Place,,2017,AUDIOBOOK,9.78168E+12,Religious,christianaudio.com,Jen Pollock Michel,,FALSE,1,1.64,FALSE
137,Yokai Attack!,,2013,EBOOK,9.78146E+12,"Comics & Graphic Novels, Fairy Tales, Folk Tales, Legends & Mythology, Fantasy, Fiction, Horror, Manga",Tuttle Publishing,Hiroko Yoda,,FALSE,1,1.69,FALSE
138,Hour Game,,2005,AUDIOBOOK,9.78159E+12,Mystery,Hachette Audio,David Baldacci,,FALSE,1,3.29,FALSE
139,City of Bones,,2005,AUDIOBOOK,9.78159E+12,"Horror, Mystery",Hachette Audio,Michael Connelly,,FALSE,1,2.99,FALSE
140,The Historian,,2005,AUDIOBOOK,9.78159E+12,Fiction,Hachette Audio,Elizabeth Kostova,,FALSE,1,2.99,FALSE
141,Still Life,,2014,AUDIOBOOK,9.78143E+12,Mystery,Macmillan Audio,Louise Penny,,FALSE,1,3.99,FALSE
142,The Ninja,,2013,EBOOK,9.78146E+12,"Asia, History, Japan, Martial Arts, Military, Sports & Recreation, Wars & Conflicts (Other)",Tuttle Publishing,"Kacem Zoughari, Ph.D.",,FALSE,1,1.69,FALSE
143,Riverboat Roulette,,2017,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Carolyn Keene,,FALSE,1,0.99,TRUE
144,The Professor and the Puzzle,,2017,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Carolyn Keene,,FALSE,1,1.29,TRUE
145,Percy (Bonus Track Edition),,2004,MUSIC,,Rock,Castle Communications,The Kinks,,FALSE,1,1.49,FALSE
146,The Corfu Trilogy,,2016,EBOOK,9.7815E+12,"Animals, Biography & Autobiography, Europe, Greece, Nature, Personal Memoirs, Travel, Wildlife",Open Road Media,Gerald Durrell,,FALSE,1,3.99,FALSE
147,Please Stop Helping Us,,2016,EBOOK,9.78159E+12,"Civil Rights, Discrimination, Education, Political Science, Social Science, Urban",Encounter Books,Jason L. Riley,,FALSE,1,1.69,FALSE
148,Emotional Intelligence,,2003,AUDIOBOOK,9.78159E+12,Self Help,Macmillan Audio,Daniel Goleman,,FALSE,1,2.69,FALSE
149,Love in a Nutshell,,2012,AUDIOBOOK,9.78143E+12,Romance,Macmillan Audio,Janet Evanovich,,FALSE,1,1.99,FALSE
150,"Wherever You Go, There You Are",,2003,AUDIOBOOK,9.78159E+12,Self Help,Macmillan Audio,Jon Kabat-Zinn,,FALSE,1,1.99,FALSE
151,The Art of Possibility,,2011,AUDIOBOOK,9.78143E+12,Self Help,Macmillan Audio,Rosamund Stone Zander,,FALSE,1,2.99,FALSE
152,Home Front,,2012,AUDIOBOOK,9.78143E+12,Fiction,Macmillan Audio,Kristin Hannah,,FALSE,1,2.99,FALSE
153,The Sardinian Cookbook,,2013,EBOOK,9.78157E+12,"Cooking, Courses & Dishes, Europe, Italian, Italy, Mediterranean, Regional & Ethnic, Travel",Agate Publishing,Viktorija Todorovska,,FALSE,1,2.29,FALSE
154,The Penguin Who Knew Too Much,,2017,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Donna Andrews,,FALSE,1,2.99,FALSE
155,Black Rednecks & White Liberals,,2009,EBOOK,9.78159E+12,"Ethnic Studies, Social Science",Encounter Books,Thomas Sowell,,FALSE,1,1.69,FALSE
156,For The Record,,2016,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Regina Jennings,,FALSE,1,1.49,FALSE
157,Breaking Cover,,2018,EBOOK,9.7815E+12,"Biography & Autobiography, Christian Living, Personal Growth, Personal Memoirs, Political Science, Religion, Terrorism","Tyndale House Publishers, Inc.",Michele Rigby Assad,,FALSE,1,0.84,FALSE
158,I Knead My Mommy,,2014,EBOOK,9.78145E+12,"Animals, Cats, Humor, Pets, Poetry, Topic",Chronicle Books LLC,Francesco Marciuliano,,FALSE,1,0.49,FALSE
159,The 3 Tails,,2017,MOVIE,,Family,"Dreamscape Media, LLC",,NRC,FALSE,1,1.99,TRUE
160,Devil's Breath,,2017,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
161,Diary of an 8-Bit Warrior: Path of the Diamond,,2017,EBOOK,9.78145E+12,"Action & Adventure, Juvenile Fiction, Media Tie-in",Andrews McMeel,Cube Kid,,FALSE,1,0.99,TRUE
162,Replay,,2017,AUDIOBOOK,9.78154E+12,Nonfiction,Tantor Audio,Tristan Donovan,,FALSE,1,2.64,FALSE
163,Archie,,2017,COMIC,9.78168E+12,"Children's, Drama, Humorous, Media Tie-In, Romance",Archie,Archie Superstars,E,FALSE,1,0.49,TRUE
164,Finding It,,2009,AUDIOBOOK,9.78074E+12,Biography,Simon & Schuster Audio,Valerie Bertinelli,,FALSE,1,3.99,FALSE
165,A Simplified Life,,2017,AUDIOBOOK,9.7814E+12,Self Help,Thomas Nelson,Emily Ley,,FALSE,1,3.99,FALSE
166,Why Isn't This Marriage Enough,,2017,EBOOK,9.78168E+12,"Couples & Family, Family & Relationships, Marriage & Family, Marriage & Long Term Relationships, Psychology, Psychotherapy, Social Science, Sociology",Morgan James Publishing,Sharon Pope,,FALSE,1,0.99,FALSE
167,"The Walking Dead, Vol. 24: Life And Death",,2015,COMIC,9.78163E+12,"Horror, Media Tie-In",Image Comics,Robert Kirkman,M,FALSE,1,1.29,FALSE
168,"The Walking Dead, Vol. 23: Whispers Into Screams",,2015,COMIC,9.78163E+12,"Horror, Media Tie-In",Image Comics,Robert Kirkman,M,FALSE,1,1.29,FALSE
169,Before,,2015,AUDIOBOOK,9.78144E+12,Romance,Simon & Schuster Audio,Anna Todd,,FALSE,1,3.99,FALSE
170,Rose in Bloom,,2010,EBOOK,9.7816E+12,Fiction,Neeland Media LLC,Louisa May Alcott,,FALSE,1,0.49,FALSE
171,I Am Not Your Negro,,2017,MOVIE,,Documentary,Magnolia Pictures,Samuel L. Jackson,PG13,FALSE,1,1.99,FALSE
172,Mindful Eating,,2012,EBOOK,9.78006E+12,"Buddhism, Diet & Nutrition, Diets, Health & Fitness, Religion, Spirituality",HarperCollins Publishers,Thich Nhat Hanh,,FALSE,1,1.14,FALSE
173,Shards and Ashes,,2013,EBOOK,9.78006E+12,"Dystopian, Romance, Short Stories, Young Adult Fiction",HarperCollins Publishers,Melissa Marr,,FALSE,1,1.79,FALSE
174,Luminary,,2014,EBOOK,9.7814E+12,"Christian - Fantasy & Science Fiction, Dystopian, Juvenile Fiction, Religious, Science Fiction",Thomas Nelson,Krista McGee,,FALSE,1,1.19,TRUE
175,The cLEAN Momma Workout,,2012,EBOOK,9.78006E+12,"Diet & Nutrition, Health & Fitness, Healthy Living, Motivational & Inspirational, Self-help, Weight Loss",HarperCollins Publishers,Carolyn Barnes,,FALSE,1,2.49,FALSE
176,Whispering Rock,,2013,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",MIRA Books,Robyn Carr,,FALSE,1,1.54,FALSE
177,Temptation Ridge,,2013,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",MIRA Books,Robyn Carr,,FALSE,1,1.54,FALSE
178,"Hearts, Keys, and Puppetry",,2010,AUDIOBOOK,9.78198E+12,Sci-Fi & Fantasy,Blackstone Publishing,Neil Gaiman,,FALSE,1,0.99,FALSE
179,Second Chance Pass,,2013,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance, Women",MIRA Books,Robyn Carr,,FALSE,1,1.54,FALSE
180,Staying Stylish,,2017,AUDIOBOOK,9.78031E+12,Christian Living,Zondervan,Candace Cameron Bure,,FALSE,1,3.49,FALSE
181,Field Guide to Wild Mushrooms of Pennsylvania and the Mid-Atlantic,,2017,EBOOK,9.78027E+12,"Handbooks & Manuals, Mushrooms, Nature, Northeast - Middle Atlantic, Plants, Reference, Reference, Travel, United States",Penn State University Press,Bill Russell,,FALSE,1,1.99,FALSE
182,The Body in the Library,Agatha Christie's Marple - Season 1,2005,TELEVISION,,"Crime, Mystery",Acorn,Geraldine McEwan,TV14,FALSE,1,1.99,FALSE
183,What We Do in the Shadows,,2015,MOVIE,,Comedy,1091 Media,Jemaine Clement,R,FALSE,1,1.99,FALSE
184,The Essence of Malice,,2017,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Ashley Weaver,,FALSE,1,2.99,FALSE
185,The Spirit of Competition,Legend of Korra - Season 1,2012,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,1,1.99,TRUE
186,The Waterbending Master,Avatar - Season 1,2005,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,1,1.99,TRUE
187,The Revelation,Legend of Korra - Season 1,2012,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,1,1.99,TRUE
188,The Voice in the Night,Legend of Korra - Season 1,2012,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,1,1.99,TRUE
189,"The Siege of the North, Part 1",Avatar - Season 1,2006,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,1,1.99,TRUE
190,Obsession Falls,,2015,AUDIOBOOK,9.78143E+12,Action & Adventure,Macmillan Audio,Christina Dodd,,FALSE,1,3.99,FALSE
191,The Swap,,2016,MOVIE,,Family,MarVista Entertainment,Peyton List,NRC,FALSE,1,1.99,TRUE
192,Batman: The Dark Knight: The Master Race,,2017,COMIC,9.7814E+12,"Superhero, Teen",DC Comics,Frank Miller,PA,FALSE,1,2.99,FALSE
193,The Prague Sonata,,2017,AUDIOBOOK,9.78168E+12,Fiction,HighBridge,Bradford Morrow,,FALSE,1,2.99,FALSE
194,At Love's Bidding,,2015,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Regina Jennings,,FALSE,1,1.49,FALSE
195,Merchant of Alyss,,2015,EBOOK,9.78149E+12,"Epic, Fantasy, Fiction",Baker Publishing Group,Thomas Locke,,FALSE,1,1.49,FALSE
196,Around the Way Girls,,2018,AUDIOBOOK,9.78198E+12,Fiction,Blackstone Publishing / Urban Audiobooks,Erick S. Gray,,FALSE,1,2.49,FALSE
197,The Woman in the Window,,2018,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,A. J. Finn,,FALSE,1,3.99,FALSE
198,Evil Under the Sun,Agatha Christie's Poirot - Season 8,2013,TELEVISION,,"Crime, Mystery",Acorn,David Suchet,TV14,FALSE,1,1.99,FALSE
199,Sad Cypress,Agatha Christie's Poirot - Season 9,2013,TELEVISION,,"Crime, Mystery",Acorn,David Suchet,TV14,FALSE,1,1.99,FALSE
