rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
320,Mockingjay,,2019,AUDIOBOOK,9.78134E+12,"Sci-Fi & Fantasy, Teen",Scholastic,Suzanne Collins,,FALSE,1,2.29,FALSE
321,Spell Found,,2016,AUDIOBOOK,9.78199E+12,Mystery,Findaway Voices,Leighann Dobbs,,FALSE,1,1.49,FALSE
322,Room,,2016,MOVIE,,"Drama, Suspense / Thriller",A24,Brie Larson,R,FALSE,1,1.98,FALSE
323,I Know Who You Are,,2019,AUDIOBOOK,9.78125E+12,Horror,Macmillan Audio,Alice Feeney,,FALSE,1,3.99,FALSE
324,The Unpassing,,2019,AUDIOBOOK,9.78125E+12,Fiction,Macmillan Audio,Chia-Chia Lin,,FALSE,1,3.99,FALSE
325,Afraid to Die,,2011,EBOOK,9.78142E+12,"Fiction, Mystery & Detective, Romance, Suspense, Suspense, Thrillers, Women Sleuths",Zebra Books,Lisa Jackson,,FALSE,1,0.99,FALSE
326,On the Road with Saint Augustine,,2019,AUDIOBOOK,9.78155E+12,Christian Living,christianaudio.com,James K. A. Smith,,FALSE,1,1.84,FALSE
327,Minecraft Vol. 1,,2019,COMIC,9.78151E+12,"Action & Adventure, Children's, Media Tie-In",Dark Horse Comics,Sfe M.,E,FALSE,1,0.34,TRUE
328,Ready to Die,,2012,EBOOK,9.78142E+12,"Fiction, Mystery & Detective, Romance, Suspense, Suspense, Thrillers, Women Sleuths",Zebra Books,Lisa Jackson,,FALSE,1,0.99,FALSE
329,Quest for the Spear,,2005,MOVIE,,"Action & Adventure, Sci-Fi & Fantasy",Electric Entertainment,Noah Wyle,NRC,FALSE,1,1.99,FALSE
330,Spider-Man: The Darkest Hours,,2019,AUDIOBOOK,9.78197E+12,"Action & Adventure, Sci-Fi & Fantasy",Marvel,Marvel,,FALSE,1,2.99,FALSE
331,Life After Beth,,2014,MOVIE,,"Comedy, Horror",A24,Aubrey Plaza,R,FALSE,1,1.98,FALSE
332,Uneasy Lies the Crown,,2018,AUDIOBOOK,9.78125E+12,Mystery,Macmillan Audio,Tasha Alexander,,FALSE,1,3.99,FALSE
333,Civil War,,2019,AUDIOBOOK,9.78197E+12,"Action & Adventure, Sci-Fi & Fantasy",Marvel,Marvel,,FALSE,1,2.99,FALSE
334,The Good Egg,,2019,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperCollins,Jory John,,FALSE,1,0.49,TRUE
335,The Cool Bean,,2019,AUDIOBOOK,9.78006E+12,"Children's, Comedy",HarperCollins,Jory John,,FALSE,1,0.49,TRUE
