rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
1,The Dream Of You,,2018,AUDIOBOOK,9781520091563,Religious,"Dreamscape Media, LLC",Jo Saxton,,FALSE,3,2.99,FALSE
2,The Screwtape Letters,,2012,AUDIOBOOK,9780062243737,Christian Non-Fiction,HarperAudio,C. S. Lewis,,FALSE,3,3.99,FALSE
3,Minimalist Home Secrets,,2020,AUDIOBOOK,9781518906770,Living,Author's Republic,Grace Burke,,FALSE,2,1.29,FALSE
4,Failure to Launch,,2006,MOVIE,,Comedy,Paramount Pictures,Matthew McConaughey,PG13,FALSE,2,2.99,FALSE
5,The Wives,,2019,AUDIOBOOK,9781488206979,Mystery,Harlequin Audio,Tarryn Fisher,,FALSE,2,3.99,FALSE
6,The Great Escape,Impractical Jokers - Season 3,2011,TELEVISION,,"Comedy, Reality TV",truTV,Sal Vulcano,TV14,FALSE,2,0.99,FALSE
7,Look Out Below,Impractical Jokers - Season 3,2011,TELEVISION,,"Comedy, Reality TV",truTV,Sal Vulcano,TV14,FALSE,2,0.99,FALSE
8,Gone by Midnight,,2020,AUDIOBOOK,9781250263117,Mystery,Macmillan Audio,Candice Fox,,FALSE,2,3.99,FALSE
9,She's All That,,1999,MOVIE,,"Comedy, Romance",Miramax,"Freddie Prinze, Jr.",PG13,FALSE,2,2.98,FALSE
10,Dying to Tell,,2020,AUDIOBOOK,9781690583127,"Action & Adventure, Mystery","Dreamscape Media, LLC",Keri Beevis,,FALSE,2,2.99,FALSE
11,A Fancy Piece of Homicide,,2019,MOVIE,,,"Dreamscape Media, LLC",Karen Baum,NRA,FALSE,2,,FALSE
12,The Girls with No Names,,2020,AUDIOBOOK,9781488207419,Fiction,Harlequin Audio,Serena Burdick,,FALSE,2,3.99,FALSE
13,The Thirst,,2006,MOVIE,,"Horror, Vampires",Lionsgate,Matt Keeslar,NRA,FALSE,2,2.99,FALSE
