rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
14,F*ck Marriage,,2020,AUDIOBOOK,9781690582465,"Fiction, Romance","Dreamscape Media, LLC",Tarryn Fisher,,FALSE,2,2.99,FALSE
15,Wrecking Ball,,2019,EBOOK,9781683356950,"Comics & Graphic Novels, Humorous Stories, Juvenile Fiction",Abrams,Jeff Kinney,,FALSE,2,0.69,TRUE
16,Under the Greenwood Tree,,2005,MOVIE,,Drama,BBC Studios,Keeley Hawes,NRC,FALSE,2,1.99,FALSE
17,Zodiac,,2007,MOVIE,,Drama,Paramount Pictures,Jake Gyllenhaal,R,FALSE,2,2.99,FALSE
18,"Girl, Stop Apologizing",,2019,AUDIOBOOK,9781400209620,Self Help,HarperCollins Leadership,Rachel Hollis,,FALSE,2,3.99,FALSE
19,"Sorry I'm Late, I Didn't Want to Come",,2019,AUDIOBOOK,9781524853983,Comedy,Andrews McMeel,Jessica Pan,,FALSE,2,2.99,FALSE
20,The Keeper of Lost Things,,2017,EBOOK,9780062473578,"Fiction, Literary, Magical Realism, Women",HarperCollins Publishers,Ruth Hogan,,FALSE,2,1.99,FALSE
21,Galapagos Islands: Land Of Dragons,,2007,MOVIE,,"Animals, Science",National Geographic,,NRC,FALSE,1,0.99,FALSE
22,Pillow Talk,,1959,MOVIE,,"Classics, Comedy, Comedy, Romance, Romance, Romantic Comedy",Universal Pictures,Rock Hudson,NRC,FALSE,1,2.99,FALSE
23,Tim Conway: Timeless Comedy,,1960,MOVIE,,"Classics, Comedy, Comedy",MPI Media Group,Tim Conway,NRT,FALSE,1,1.99,FALSE
24,An Indigenous Peoples' History of the United States,,2014,AUDIOBOOK,9781494527051,History,Tantor Audio,Roxanne Dunbar-Ortiz,,FALSE,1,2.14,FALSE
25,The Prayer Box,,2013,EBOOK,9781414388632,"Fiction, Women","Tyndale House Publishers, Inc.",Lisa Wingate,,FALSE,1,0.79,FALSE
26,Skylanders Giants,,2012,MUSIC,,Soundtrack,Activision,Lorne Balfe,,FALSE,1,1.49,FALSE
27,The Louvre,,1978,MOVIE,,"Award Winning, Documentary",Monterey,Sidney Carroll,NRT,FALSE,1,1.49,FALSE
28,That Old Black Magic,,2010,EBOOK,9781569768136,"Biography & Autobiography, Genres & Styles, Music, Music, Pop Vocal",Chicago Review Press,Tom Clavin,,FALSE,1,1.99,FALSE
29,The Girl Who Wrote in Silk,,2016,AUDIOBOOK,9781982449032,Drama,Blackstone Publishing,Kelli Estes,,FALSE,1,1.49,FALSE
30,The Red Door,,2010,AUDIOBOOK,9781982409296,Mystery,Blackstone Publishing,Charles Todd,,FALSE,1,1.49,FALSE
31,Oh Crap! Potty Training,,2015,AUDIOBOOK,9781494595050,Self Help,Tantor Audio,Jamie Glowacki,,FALSE,1,1.84,FALSE
32,Ten Beach Road,,2012,AUDIOBOOK,9781452690117,Drama,Tantor Audio,Wendy Wax,,FALSE,1,2.64,FALSE
33,Eye of the Beholder,,2015,AUDIOBOOK,9781622316571,Science & Technology,HighBridge,Laura J. Snyder,,FALSE,1,2.64,FALSE
34,Coming Home to Mustang Ridge,,2015,AUDIOBOOK,9781494592523,Romance,Tantor Audio,Jesse Hayworth,,FALSE,1,1.84,FALSE
35,The Young Clementina,,2013,EBOOK,9781402274732,"Family Life, Fiction, Historical",Sourcebooks Inc,D. E. Stevenson,,FALSE,1,0.74,FALSE
36,365 Games Smart Toddlers Play,,2006,EBOOK,9781402250453,"Activities, Family & Relationships, Infants & Toddlers, Life Stages",Sourcebooks Inc,Sheila Ellison,,FALSE,1,,FALSE
37,Lives of the Artists,,2012,AUDIOBOOK,9781538592489,Biography,"Blackstone Audio, Inc.",Kathleen Krull,,FALSE,1,0.74,FALSE
38,The Double,,2013,AUDIOBOOK,9781982426736,Classics,Blackstone Publishing,Fyodor Dostoevsky,,FALSE,1,1.49,FALSE
39,Strapped,,2009,EBOOK,9781625175465,"African American, Crime, Fiction, Urban",True 2 Life Publications,Al-Saadiq Banks,,FALSE,1,0.99,FALSE
40,Stealing the Preacher,,2013,EBOOK,9781441261458,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Karen Witemeyer,,FALSE,1,1.49,FALSE
41,A Cowboy Unmatched,,2014,EBOOK,9781441263377,"Christian, Fiction, Historical, Romance, Short Stories (single Author)",Baker Publishing Group,Karen Witemeyer,,FALSE,1,0.49,FALSE
42,Dancing Through Life,,2015,AUDIOBOOK,9781633892477,Biography,christianaudio.com,Candace Cameron Bure,,FALSE,1,1.64,FALSE
43,Sir Cumference and All the King's Tens,,2009,EBOOK,9781607341321,"Juvenile Nonfiction, Mathematics",Charlesbridge,Cindy Neuschwander,,FALSE,1,0.99,TRUE
44,All Things Wise and Wonderful,,2011,EBOOK,9781453227923,"Biography & Autobiography, Essays & Narratives, Medical, Personal Memoirs, Pets, Veterinary Medicine",Open Road Media,James Herriot,,FALSE,1,2.05,FALSE
45,Sir Cumference and the First Round Table,,2011,EBOOK,9781607341499,"Adventure & Adventurers, Geometry, Juvenile Nonfiction, Mathematics",Charlesbridge,Cindy Neuschwander,,FALSE,1,0.99,TRUE
46,Ida,,2014,MOVIE,,Drama,Music Box Films,Agata Trzebuchowska,PG13,FALSE,1,1.49,FALSE
47,American Gods,,2011,AUDIOBOOK,9780062101914,Sci-Fi & Fantasy,HarperAudio,Neil Gaiman,,FALSE,1,3.99,FALSE
48,The E-Myth Revisited,,2005,AUDIOBOOK,9780060839246,Business,HarperAudio,Michael E. Gerber,,FALSE,1,3.99,FALSE
49,The Truth,,2015,AUDIOBOOK,9780062308719,Self Help,HarperAudio,Neil Strauss,,FALSE,1,3.99,FALSE
50,The Long Utopia,,2015,AUDIOBOOK,9780062297365,Sci-Fi & Fantasy,HarperAudio,Terry Pratchett,,FALSE,1,3.99,FALSE
51,Cruel Crown,,2016,AUDIOBOOK,9780062457950,Sci-Fi & Fantasy,HarperTeen,Victoria Aveyard,,FALSE,1,3.99,FALSE
52,The Fall of Five,,2013,AUDIOBOOK,9780062293398,Children's,HarperCollins,Pittacus Lore,,FALSE,1,3.99,TRUE
53,Neverwhere,,2007,AUDIOBOOK,9780061549113,Sci-Fi & Fantasy,HarperAudio,Neil Gaiman,,FALSE,1,3.99,FALSE
54,Their Eyes Were Watching God,,2005,AUDIOBOOK,9780060842765,Fiction,HarperAudio,Zora Neale Hurston,,FALSE,1,3.99,FALSE
55,And Then There Were None,,2013,AUDIOBOOK,9780062265876,Mystery,HarperAudio,Agatha Christie,,FALSE,1,3.99,FALSE
56,The Murder of Roger Ackroyd,,2012,AUDIOBOOK,9780062233745,Mystery,HarperAudio,Agatha Christie,,FALSE,1,3.99,FALSE
57,The Mysterious Howling,,2010,AUDIOBOOK,9780061988325,Children's,Balzer + Bray,Maryrose Wood,,FALSE,1,3.99,TRUE
58,A Bear Called Paddington,,2005,AUDIOBOOK,9780060840655,"Children's, Fiction",HarperFestival,Michael Bond,,FALSE,1,2.99,TRUE
59,Divergent,,2011,AUDIOBOOK,9780062067593,Sci-Fi & Fantasy,Katherine Tegen Books,Veronica Roth,,FALSE,1,3.99,FALSE
60,Sign of the Moon,,2011,AUDIOBOOK,9780062067388,Action & Adventure,HarperCollins,Erin Hunter,,FALSE,1,3.99,FALSE
61,Night Whispers,,2010,AUDIOBOOK,9780062067326,Children's,HarperCollins,Erin Hunter,,FALSE,1,3.99,TRUE
62,Red Queen,,2015,AUDIOBOOK,9780062346513,Sci-Fi & Fantasy,HarperTeen,Victoria Aveyard,,FALSE,1,3.99,FALSE
63,Good Omens,,2009,AUDIOBOOK,9780061967078,Comedy,HarperAudio,Neil Gaiman,,FALSE,1,0.99,FALSE
64,The Neil Gaiman Audio Collection,,2005,AUDIOBOOK,9780060818241,Children's,HarperAudio,Neil Gaiman,,FALSE,1,1.99,TRUE
65,Fading Echoes,,2010,AUDIOBOOK,9780061938269,Children's,HarperCollins,Erin Hunter,,FALSE,1,3.99,TRUE
66,Ruby Holler,,2005,AUDIOBOOK,9780060848422,Children's,HarperCollins,Sharon Creech,,FALSE,1,1.99,TRUE
67,Piercing the Darkness,,2005,AUDIOBOOK,9781596075849,Religious,Books In Motion,Frank Peretti,,FALSE,1,2.99,FALSE
68,A Girl of the Limberlost,,1999,AUDIOBOOK,9781596070394,Classics,Books In Motion,Gene Stratton-Porter,,FALSE,1,2.29,FALSE
69,Evidence of Mercy,,2008,AUDIOBOOK,9780310305293,Mystery,Zondervan,Terri Blackstock,,FALSE,1,3.99,FALSE
70,Turnaround God,,2013,AUDIOBOOK,9780849922893,Religious,Thomas Nelson,Charlotte Gambill,,FALSE,1,3.99,FALSE
71,The Picture of Dorian Gray,,2016,AUDIOBOOK,9781520004150,Classics,"Dreamscape Media, LLC",Oscar Wilde,,FALSE,1,2.99,FALSE
72,Queen of Heaven,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
73,Into the Woods,,2014,MOVIE,,Sci-Fi & Fantasy,RLJ Entertainment,Bernadette Peters,PG,FALSE,1,1.99,FALSE
74,Angels & Demons,,2003,AUDIOBOOK,9780743550208,Mystery,Simon & Schuster Audio,Dan Brown,,FALSE,1,3.99,FALSE
75,Fall of the Hotel Dumort,,2013,AUDIOBOOK,9781442365193,Sci-Fi & Fantasy,Simon & Schuster Audio,Cassandra Clare,,FALSE,1,0.99,FALSE
76,The Stranger Beside Me,,1992,AUDIOBOOK,9780743546836,Biography,Simon & Schuster Audio,Ann Rule,,FALSE,1,2.99,FALSE
77,The Alienist,,1994,AUDIOBOOK,9780743520089,Fiction,Simon & Schuster Audio,Caleb Carr,,FALSE,1,3.99,FALSE
78,The Road Back to You,,2016,AUDIOBOOK,9781633899858,"Religious, Self Help",christianaudio.com,Ian Morgan Cron,,FALSE,1,2.14,FALSE
79,From This Moment,,2016,AUDIOBOOK,9781515922711,Romance,Tantor Audio,Elizabeth Camden,,FALSE,1,2.14,FALSE
80,Orchid Beach,,2016,AUDIOBOOK,9780062564702,Mystery,HarperAudio,Stuart Woods,,FALSE,1,3.99,FALSE
81,Summary of The Whole-Brain Child,,2016,EBOOK,9781683780007,"Child, Developmental, Psychology",Instaread,Various Authors,,FALSE,1,0.49,FALSE
82,Farmer Boy,,2017,AUDIOBOOK,9780060754938,Children's,HarperCollins,Laura Ingalls Wilder,,FALSE,1,1.99,TRUE
83,Little Town on the Prairie,,2017,AUDIOBOOK,9780062657022,Children's,HarperCollins,Laura Ingalls Wilder,,FALSE,1,1.99,TRUE
84,I Need a New Butt!,,2014,EBOOK,9780486796116,"Beginner, Body, Concepts, Humorous Stories, Juvenile Fiction, Readers",Dover Publications,Dawn McMillan,,FALSE,1,0.99,TRUE
85,Pete the Cat and the Missing Cupcakes,,2016,AUDIOBOOK,9780062670878,"Children's, Fiction",HarperCollins,James Dean,,FALSE,1,0.49,TRUE
86,Don't Mix The Bitter With The Sweet,,2016,EBOOK,9781944151102,"Action & Adventure, African American, Crime, Drama, Fiction, Romance, Urban","Street Knowledge Publishing, LLC",Gregory Garret,,FALSE,1,0.69,FALSE
87,Sensitive,,2015,MOVIE,,Documentary,Filmhub,Elaine Aron,NRT,FALSE,1,1.99,FALSE
88,Pale Kings and Princes,,2015,AUDIOBOOK,9781442384088,Children's,Simon & Schuster Audio,Cassandra Clare,,FALSE,1,0.99,TRUE
89,Old World Witchcraft,,2011,EBOOK,9781609256135,"Body, Mind & Spirit, Witchcraft",Red Wheel Weiser,Raven Grimassi,,FALSE,1,1.79,FALSE
90,Anxious for Nothing,,2017,AUDIOBOOK,9780718098971,Christian Non-Fiction,Thomas Nelson,Max Lucado,,FALSE,1,3.99,FALSE
91,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),,2016,MUSIC,,Soundtrack,Lucasfilm Ltd.,Michael Giacchino,,FALSE,1,1.49,TRUE
92,A Darkness More Than Night,,2005,AUDIOBOOK,9781594834271,Mystery,Hachette Audio,Michael Connelly,,FALSE,1,2.99,FALSE
93,Switchblade,,2014,AUDIOBOOK,9781478981626,Mystery,Hachette Audio,Michael Connelly,,FALSE,1,0.49,FALSE
94,Echo Park,,2006,AUDIOBOOK,9781594835889,Mystery,Hachette Audio,Michael Connelly,,FALSE,1,3.29,FALSE
95,Void Moon,,2005,AUDIOBOOK,9781594834806,Action & Adventure,Hachette Audio,Michael Connelly,,FALSE,1,3.29,FALSE
96,Boneshaker,,2010,AUDIOBOOK,9781427210845,Sci-Fi & Fantasy,Macmillan Audio,Cherie Priest,,FALSE,1,3.99,FALSE
97,All Dogs Go to Heaven,,1989,MOVIE,,Children's,MGM,Burt Reynolds,G,FALSE,1,2.99,TRUE
98,Legally Blonde,,2001,MOVIE,,Comedy,MGM,Reese Witherspoon,PG13,FALSE,1,2.99,FALSE
99,Chitty Chitty Bang Bang,,1968,MOVIE,,Family,MGM,Dick Van Dyke,G,FALSE,1,2.99,TRUE
100,Stamped from the Beginning,,2017,AUDIOBOOK,9781518940927,History,Novel Audio,Ibram X. Kendi,,FALSE,1,2.99,FALSE
101,My Little Pony: Friendship Is Magic,,2017,COMIC,DEC120398,"Children's, Fantasy, Humorous, Media Tie-In",IDW Publishing,Katie Cook,E,FALSE,1,0.49,TRUE
102,Emotional Intelligence,,2003,AUDIOBOOK,9781593972080,Self Help,Macmillan Audio,Daniel Goleman,,FALSE,1,2.69,FALSE
103,You Got Me Twisted,,2012,EBOOK,9781936649617,"Bullying, Friendship, People & Places, Self-esteem & Self-reliance, Social Themes, United States - African American, Young Adult Fiction",W. Clark Distribution,Gloria Dotson-Lewis,,FALSE,1,0.69,FALSE
104,The Husband Maneuver,,2016,EBOOK,9781441229120,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Karen Witemeyer,,FALSE,1,0.49,FALSE
105,Ringmaster,,1998,MOVIE,,Comedy,Lionsgate,Jerry Springer,R,FALSE,1,2.99,FALSE
106,The White House,,2014,EBOOK,9781617752889,"African American, Crime, Fiction, Hard-boiled, Mystery & Detective, Mystery & Detective, Urban",Akashic Books,JaQuavis Coleman,,FALSE,1,0.49,FALSE
107,DC Super Hero Girls: Finals Crisis,,2016,COMIC,9781401270360,"Action & Adventure, Children's, Fantasy, Media Tie-In, Superhero",DC Comics,Shea Fontana,E,FALSE,1,1.49,TRUE
108,Dirty Filthy Rich Men,,2017,EBOOK,9781942835165,"Contemporary, Erotica, Fiction, Romance",EverAfter Romance,Laurelin Paige,,FALSE,1,0.49,FALSE
109,Kittens,,2006,MOVIE,,Family,1091 Media,Kittens,NRC,FALSE,1,1.99,TRUE
110,I Found You,,2017,AUDIOBOOK,9781520068350,Mystery,"Dreamscape Media, LLC",Lisa Jewell,,FALSE,1,,FALSE
111,Every Last Lie,,2017,AUDIOBOOK,9781488203121,Mystery,Harlequin Audio,Mary Kubica,,FALSE,1,0.99,FALSE
112,The Alice Network,,2017,AUDIOBOOK,9780062676603,Fiction,HarperAudio,Kate Quinn,,FALSE,1,3.99,FALSE
113,The Weight of Ink,,2017,AUDIOBOOK,9781681686325,Fiction,HighBridge,Rachel Kadish,,FALSE,1,2.99,FALSE
114,Unfu*k Yourself,,2017,AUDIOBOOK,9780062819499,Self Help,HarperAudio,Gary John Bishop,,FALSE,1,3.99,FALSE
115,"Girl, Wash Your Face",,2018,AUDIOBOOK,9781400201679,Christian Living,Thomas Nelson,Rachel Hollis,,FALSE,1,3.99,FALSE
116,Dear Evan Hansen,,2017,EBOOK,9781559368803,"Genres & Styles, Music, Musicals",Theatre Communications Group,Steven Levenson,,FALSE,1,1.69,FALSE
117,Z,,2011,EBOOK,9780062043139,"Action & Adventure, Horror, Social Themes, Young Adult Fiction",HarperCollins Publishers,Michael Thomas Ford,,FALSE,1,1.14,FALSE
118,Exclusively Yours,,2012,EBOOK,9781426893513,"Contemporary, Fiction, Romance",Carina Press,Shannon Stacey,,FALSE,1,1.34,FALSE
119,Undeniably Yours,,2012,EBOOK,9781426893520,"Contemporary, Fiction, Romance",Carina Press,Shannon Stacey,,FALSE,1,1.34,FALSE
120,Self-Reliance,,2017,AUDIOBOOK,9781520078786,Nonfiction,"Dreamscape Media, LLC",Ralph Waldo Emerson,,FALSE,1,2.99,FALSE
121,"Hearts, Keys, and Puppetry",,2010,AUDIOBOOK,9781982467401,Sci-Fi & Fantasy,Blackstone Publishing,Neil Gaiman,,FALSE,1,0.74,FALSE
122,Supergirl: Book One,,2016,COMIC,9781401272852,"Media Tie-In, Superhero, Teen",DC Comics,Peter David,T,FALSE,1,2.49,FALSE
123,Yours To Keep,,2012,EBOOK,9781426893537,"Contemporary, Fiction, Romance",Carina Press,Shannon Stacey,,FALSE,1,1.34,FALSE
124,The Ebb Tide,,2017,EBOOK,9781441231109,"Amish & Mennonite, Christian, Fiction, Religious",Baker Publishing Group,Beverly Lewis,,FALSE,1,1.69,FALSE
125,Abby in Wonderland,,2017,AUDIOBOOK,9781338241457,Children's,Scholastic,Sarah Mlynowski,,FALSE,1,,TRUE
126,What We Do in the Shadows,,2015,MOVIE,,Comedy,1091 Media,Jemaine Clement,R,FALSE,1,1.99,FALSE
127,Pups Save a Mer-Pup,PAW Patrol - Season 4,2015,TELEVISION,,Children's,Nickelodeon,,TVY,FALSE,1,1.99,TRUE
128,iFence,iCarly - Season 1,2008,TELEVISION,,Children's,Nickelodeon,,TVG,FALSE,1,1.99,TRUE
129,iPromote Tech Foots,iCarly - Season 1,2008,TELEVISION,,Children's,Nickelodeon,,TVG,FALSE,1,1.99,TRUE
130,iLike Jake,iCarly - Season 1,2007,TELEVISION,,Children's,Nickelodeon,,TVG,FALSE,1,1.99,TRUE
131,Diamond Girl,,2014,EBOOK,9781460340004,"Contemporary, Fiction, Romance",Harlequin,Diana Palmer,,FALSE,1,1.19,FALSE
132,Hamilton: One Shot to Broadway,,2017,MOVIE,,Documentary,Vision Films,Lin-Manuel Miranda,NRC,FALSE,1,1.99,FALSE
133,Craving,,2016,EBOOK,9781943893669,"Contemporary, Fiction, Romance",Waterhouse Press,Helen Hardt,,FALSE,1,1.99,FALSE
134,The Sun and Her Flowers,,2017,EBOOK,9781449488895,"Canadian, Love & Erotica, Poetry, Subjects & Themes, Women Authors",Andrews McMeel,Rupi Kaur,,FALSE,1,0.99,FALSE
135,Death in the English Countryside,,2017,EBOOK,9781520095097,"Cozy, Fiction, Mystery & Detective","Dreamscape Media, LLC",Sara Rosett,,FALSE,1,0.99,FALSE
136,Around the Way Girls 6,,2018,AUDIOBOOK,9781982460778,Fiction,Blackstone Publishing / Urban Audiobooks,Mark Anthony,,FALSE,1,1.87,FALSE
137,Star Wars: Darth Vader Vol. 1: Vader,,2015,COMIC,9781302482602,"Action & Adventure, Media Tie-In, Sci-Fi, Teen",Marvel Entertainment,Kieron Gillen,T,FALSE,1,1.14,FALSE
138,The Long Ships,,2017,AUDIOBOOK,9781681688961,Action & Adventure,HighBridge,Frans G. Bengtsson,,FALSE,1,2.99,FALSE
139,The Willoughbys,,2008,EBOOK,9780547345055,"Family, Humorous Stories, Juvenile Fiction, Orphans & Foster Homes, Parents, Siblings",HMH Books,Lois Lowry,,FALSE,1,0.89,TRUE
140,Moon Knight Vol. 1: From The Dead,,2014,COMIC,9781302392055,"Superhero, Teen",Marvel Entertainment,Warren Ellis,T,FALSE,1,,FALSE
141,Ruth Galloway Series: The First Three Novels,,2015,EBOOK,9780544841925,"Fiction, Mystery & Detective, Traditional, Women Sleuths",HMH Books,Elly Griffiths,,FALSE,1,3.29,FALSE
142,The Nightingale,,2015,AUDIOBOOK,9781427252388,Drama,Macmillan Audio,Kristin Hannah,,FALSE,1,3.99,FALSE
143,Two Balls or Less,,2007,EBOOK,9781446351710,"Crafts & Hobbies, Knitting, Needlework",David & Charles,Jenny Hill,,FALSE,1,1.99,FALSE
144,Odd Birds,,2017,AUDIOBOOK,9781427286307,Biography,Macmillan Audio,Ian Harding,,FALSE,1,3.69,FALSE
145,The Tale of Peter Rabbit,,2018,AUDIOBOOK,9781974912889,Children's,"Dreamscape Media, LLC",Beatrix Potter,,FALSE,1,0.99,TRUE
146,One Good Mama Bone,,2017,EBOOK,9781611177473,"Fiction, Small Town & Rural",University of South Carolina Press,Bren McClain,,FALSE,1,1.99,FALSE
147,Family Don't End with Blood,,2018,AUDIOBOOK,9781977323088,History,Tantor Audio,Lynn S. Zubernis,,FALSE,1,1.84,FALSE
148,Adventure Time Vol. 1,,2013,COMIC,9781613980316,"Action & Adventure, Children's, Fantasy, Humorous, Media Tie-In",BOOM!,Ryan North,E,FALSE,1,0.99,TRUE
149,Akata Witch,,2018,AUDIOBOOK,9781977322425,Teen,Tantor Audio,Nnedi Okorafor,,FALSE,1,1.84,FALSE
150,Then She Was Gone,,2018,AUDIOBOOK,9781520098289,Fiction,"Dreamscape Media, LLC",Lisa Jewell,,FALSE,1,2.99,FALSE
151,The Tattooist of Auschwitz,,2018,AUDIOBOOK,9780062866998,Fiction,HarperAudio,Heather Morris,,FALSE,1,3.99,FALSE
152,Hold Me,,2015,EBOOK,9781460380697,"Contemporary, Fiction, Romance",HQN Books,Susan Mallery,,FALSE,1,1.54,FALSE
153,Diamond Spur,,2015,EBOOK,9781460346952,"Contemporary, Fiction, Romance, Western",HQN Books,Diana Palmer,,FALSE,1,1.34,FALSE
154,Kiss Me,,2015,EBOOK,9781460382103,"Contemporary, Fiction, Romance",HQN Books,Susan Mallery,,FALSE,1,1.54,FALSE
155,Dancing with Fireflies,,2014,EBOOK,9781401687038,"Christian, Clean & Wholesome, Contemporary, Fiction, Romance, Romance","Thomas Nelson, Inc.",Denise Hunter,,FALSE,1,1.99,FALSE
156,When Women Ruled the World,,2019,AUDIOBOOK,9781982523749,History,Blackstone Publishing,Kara Cooney,,FALSE,1,0.74,FALSE
157,Rising Strong as a Spiritual Practice,,2017,AUDIOBOOK,9781622037827,Self Help,Sounds True,Brené Brown,,FALSE,1,1.29,FALSE
158,"Men, Women, and Worthiness",,2012,AUDIOBOOK,9781604079036,Science & Technology,Sounds True,Brené Brown,,FALSE,1,0.99,FALSE
159,The Winter Duchess,,2018,AUDIOBOOK,9781977396167,Romance,Tantor Audio,Jillian Eaton,,FALSE,1,1.14,FALSE
160,It's Not Supposed to Be This Way,,2018,AUDIOBOOK,9781400210947,Christian Living,Thomas Nelson,Lysa Terkeurst,,FALSE,1,3.99,FALSE
161,On Becoming Potty Wise for Toddlers,,2005,EBOOK,9781932740462,"Family & Relationships, Toilet Training","Parent-Wise Solutions, Inc.",Gary Ezzo,,FALSE,1,0.99,FALSE
162,Perv,,2014,EBOOK,9781629160726,"Contemporary, Fiction, Romance, Suspense",Hartwood Publishing,Becca Jameson,,FALSE,1,0.69,FALSE
163,Frida,,2002,MOVIE,,"Biography, Drama",Miramax,Salma Hayek,R,FALSE,1,2.98,FALSE
164,Finding Neverland,,2004,MOVIE,,"Biography, Drama, Family",Miramax,Johnny Depp,PG,FALSE,1,2.98,TRUE
165,Radio,,2003,MOVIE,,"Drama, Sports",Revolution Studios,"Cuba Gooding, Jr.",PG,FALSE,1,2.99,FALSE
166,The Women in the Walls,,2016,EBOOK,9781460399057,"Family, Girls & Women, Horror, Young Adult Fiction",Harlequin,Amy Lukavics,,FALSE,1,1.69,FALSE
167,Strictly Ballroom,,1993,MOVIE,,"Comedy, Drama",Miramax,Paul Mercurio,PG,FALSE,1,2.98,FALSE
168,"Tails, Tricks and Traps",,2015,EBOOK,9781484750667,"Beginner, Humorous Stories, Juvenile Fiction, Media Tie-in, Readers",Disney Book Group,Lisa Ann Marsoli,,FALSE,1,0.49,TRUE
169,Living In The Future's Past,,2018,MOVIE,,Documentary,Vision Films,Jeff Bridges,NRT,FALSE,1,1.99,FALSE
170,Sold on a Monday,,2018,EBOOK,9781492664000,"Fiction, Historical, Literary",Sourcebooks Inc,Kristina McMorris,,FALSE,1,2.29,FALSE
171,Anxiety Happens,,2018,AUDIOBOOK,9781684033942,Self Help,New Harbinger Publications,John P. Forsyth,,FALSE,1,1.29,FALSE
172,Sunny and the Princesses,Sunny Day - Season 1,2017,TELEVISION,,,Nickelodeon,Lilla Crawford,TVY,FALSE,1,1.99,TRUE
173,Style Swap,Sunny Day - Season 1,2017,TELEVISION,,,Nickelodeon,Lilla Crawford,TVY,FALSE,1,1.99,TRUE
174,Pups Save an Elephant Family/Pups and the Mischievous Kittens,PAW Patrol - Season 4,2015,TELEVISION,,Children's,Nickelodeon,Devan Cohen,TVY,FALSE,1,1.99,TRUE
175,Pups' Adventures in Babysitting/Pups Save the Fireworks,PAW Patrol - Season 4,2015,TELEVISION,,Children's,Nickelodeon,Devan Cohen,TVY,FALSE,1,1.99,TRUE
176,The Ninjabread Man,,2018,EBOOK,9781684446230,"Adaptations, Beginner, Fairy Tales & Folklore, Juvenile Fiction, Readers","Triangle Interactive, LLC",Katrina Charman,,FALSE,1,2.69,TRUE
177,Sir Cumference And All The King's Tens,,2018,EBOOK,9781684446667,"Adventure & Adventurers, Arithmetic, Juvenile Nonfiction, Mathematics","Triangle Interactive, LLC",Cindy Neuschwander,,FALSE,1,1.29,TRUE
178,Sir Cumference And The Sword In The Cone,,2018,EBOOK,9781684446698,"Adventure & Adventurers, Geometry, Juvenile Nonfiction, Mathematics","Triangle Interactive, LLC",Cindy Neuschwander,,FALSE,1,1.29,TRUE
179,Until We Touch,,2014,EBOOK,9781460334577,"Contemporary, Fiction, Romance",HQN Books,Susan Mallery,,FALSE,1,1.54,FALSE
180,Broken Throne,,2019,AUDIOBOOK,9780062913876,Teen,HarperCollins,Victoria Aveyard,,FALSE,1,3.99,FALSE
181,Pete The Cat,,2018,MUSIC,,Children's,"Alcon Sleeping Giant (ASG) Records, a Division of ASG Music Group, LLC",Pete The Cat,,FALSE,1,1.49,TRUE
