date,audiobook circulations,audiobook cost,comic circulations,comic cost,ebook circulations,ebook cost,movie circulations,movie cost,music circulations,music cost,television circulations,television cost,total circulations,total cost
Mar 2020,153,$395.25,21,$15.76,89,$105.41,43,$95.54,8,$11.92,25,$39.76,339,$663.64
Apr 2020,419,$800.87,45,$41.43,213,$245.09,95,$173.36,23,$32.78,37,$65.13,832,$1358.66
May 2020,421,$840.18,39,$57.84,228,$258.09,61,$134.69,28,$39.24,33,$59.67,810,$1389.71
Jun 2020,225,$592.55,33,$47.22,113,$154.91,48,$108.80,15,$22.35,19,$34.81,453,$960.64
